,true,pred,corr
0,2,2,True
1,2,2,True
2,1,1,True
3,0,0,True
4,3,3,True
5,2,2,True
6,1,1,True
7,0,0,True
8,3,3,True
9,2,2,True
10,1,1,True
11,0,0,True
12,3,3,True
13,2,2,True
14,1,1,True
15,0,0,True
16,3,3,True
17,2,2,True
18,1,1,True
19,0,0,True
20,3,3,True
21,2,2,True
22,1,1,True
23,0,0,True
24,3,3,True
25,2,2,True
26,1,1,True
27,0,0,True
28,3,3,True
29,2,2,True
30,1,1,True
31,0,0,True
32,3,3,True
33,2,2,True
34,1,1,True
35,0,0,True
36,3,3,True
37,2,2,True
38,1,1,True
39,0,0,True
40,3,3,True
41,2,2,True
42,1,1,True
43,0,0,True
44,3,3,True
45,2,2,True
46,1,1,True
47,0,0,True
48,3,3,True
49,2,2,True
50,1,1,True
51,0,0,True
52,3,3,True
53,2,2,True
54,1,1,True
55,0,0,True
56,3,3,True
57,2,2,True
58,1,1,True
59,0,0,True
60,3,3,True
61,2,2,True
62,1,1,True
63,0,0,True
64,3,3,True
65,2,2,True
66,1,1,True
67,0,0,True
68,3,3,True
69,2,2,True
70,1,1,True
71,0,0,True
72,3,3,True
73,2,2,True
74,1,1,True
75,0,0,True
76,3,3,True
77,2,2,True
78,1,1,True
79,0,0,True
80,3,3,True
81,2,2,True
82,1,1,True
83,0,0,True
84,3,3,True
85,2,2,True
86,1,1,True
87,0,0,True
88,3,3,True
89,2,2,True
90,1,1,True
91,0,0,True
92,3,3,True
93,2,2,True
94,1,1,True
95,0,0,True
96,3,3,True
97,2,2,True
98,1,1,True
99,0,0,True
100,3,3,True
101,2,2,True
102,1,1,True
103,0,0,True
104,3,3,True
105,2,2,True
106,1,1,True
107,0,0,True
108,3,3,True
109,2,2,True
110,1,1,True
111,0,0,True
112,3,3,True
113,2,2,True
114,1,1,True
115,0,0,True
116,3,3,True
117,2,2,True
118,1,1,True
119,0,0,True
120,3,3,True
121,2,2,True
122,1,1,True
123,0,0,True
124,3,3,True
125,2,2,True
126,1,1,True
127,0,0,True
128,3,3,True
129,2,2,True
130,1,1,True
131,0,0,True
132,3,3,True
133,2,2,True
134,1,1,True
135,0,0,True
136,3,3,True
137,2,2,True
138,1,1,True
139,0,0,True
140,3,3,True
141,2,2,True
142,1,1,True
143,0,0,True
144,3,3,True
145,2,2,True
146,1,1,True
147,0,0,True
148,3,3,True
149,2,2,True
150,1,1,True
151,0,0,True
152,3,3,True
153,2,2,True
154,1,1,True
155,0,0,True
156,3,3,True
157,2,2,True
158,1,1,True
159,0,0,True
160,3,3,True
161,2,2,True
162,1,1,True
163,0,0,True
164,3,3,True
165,2,2,True
166,1,1,True
167,0,0,True
168,3,3,True
169,2,2,True
170,1,1,True
171,0,0,True
172,3,3,True
173,2,2,True
174,1,1,True
175,0,0,True
176,3,3,True
177,2,2,True
178,1,1,True
179,0,0,True
180,3,3,True
181,2,2,True
182,1,1,True
183,0,0,True
184,3,3,True
185,2,2,True
186,1,1,True
187,0,0,True
188,3,3,True
189,2,2,True
190,1,1,True
191,0,0,True
192,3,3,True
193,2,2,True
194,1,1,True
195,0,0,True
196,3,3,True
197,2,2,True
198,1,1,True
199,0,0,True
200,3,3,True
201,2,2,True
202,1,1,True
203,0,0,True
204,3,3,True
205,2,2,True
206,1,1,True
207,0,0,True
