,iou_median,iou_p-25th,iou_p-75th
0,0.6545677781105042,0.546248733997345,0.7488805651664734
1,0.6616572737693787,0.5756763219833374,0.7344712018966675
2,0.6282397210597992,0.5154794156551361,0.7104981541633606
3,0.5941718220710754,0.5040637403726578,0.727937638759613
4,0.6388819813728333,0.5598148703575134,0.7392932176589966
5,0.6193746328353882,0.5431052148342133,0.7216063141822815
6,0.6413538157939911,0.5616878271102905,0.6899395436048508
7,0.6356134414672852,0.49764618277549744,0.7332269549369812
8,0.6539090871810913,0.5908918380737305,0.7392775416374207
9,0.6532611846923828,0.5945338606834412,0.7221598923206329
10,0.5890692472457886,0.5091744363307953,0.6993131637573242
11,0.6430829763412476,0.542971670627594,0.732622817158699
12,0.6200666427612305,0.5666462182998657,0.7013141512870789
13,0.6218564510345459,0.5465733706951141,0.7499052286148071
14,0.6432803869247437,0.5575057864189148,0.7225601077079773
15,0.6515918970108032,0.5882557481527328,0.732233002781868
16,0.6580703258514404,0.5872213691473007,0.7604877799749374
17,0.6669651865959167,0.5981332361698151,0.7524565756320953
18,0.6181384325027466,0.5014940500259399,0.7316828966140747
19,0.6304125189781189,0.5084957480430603,0.7262503206729889
20,0.6367409229278564,0.47003360837697983,0.7246867567300797
21,0.6464326977729797,0.5722553133964539,0.7156718671321869
22,0.5995064973831177,0.49850887060165405,0.7072752118110657
23,0.6323954463005066,0.5419344902038574,0.7344735860824585
24,0.6265498399734497,0.5481047630310059,0.7112244069576263
25,0.6145513653755188,0.5454453080892563,0.6970107108354568
26,0.6203460097312927,0.48944395780563354,0.7017747759819031
27,0.6327527761459351,0.516572967171669,0.7209711968898773
28,0.6244426369667053,0.5149033963680267,0.7139254510402679
29,0.6473577618598938,0.5563713908195496,0.7548158168792725
30,0.6845915913581848,0.5888381004333496,0.7589311003684998
31,0.6386405229568481,0.549184262752533,0.7206006050109863
32,0.662821352481842,0.5880440771579742,0.7608981132507324
33,0.6343873143196106,0.5807327628135681,0.7165921926498413
34,0.6002444624900818,0.4707357585430145,0.6825650036334991
35,0.6843211650848389,0.576341062784195,0.7644208818674088
36,0.6404309868812561,0.5676174461841583,0.711982786655426
37,0.6380489766597748,0.5668562352657318,0.7388207614421844
38,0.6609154343605042,0.5577154159545898,0.7368439435958862
39,0.622283399105072,0.4974510818719864,0.7043525576591492
40,0.6562480628490448,0.5699309557676315,0.7309629619121552
41,0.5646458268165588,0.46088091284036636,0.7057423293590546
42,0.646905779838562,0.5487320423126221,0.7298405468463898
43,0.6446988582611084,0.5560680776834488,0.7232482731342316
44,0.6657720506191254,0.5448895841836929,0.7226552665233612
45,0.6627780795097351,0.5737771987915039,0.7718498706817627
46,0.60877525806427,0.5567626953125,0.7115870118141174
47,0.6592426896095276,0.5723659694194794,0.6944901049137115
48,0.6724544763565063,0.5774922072887421,0.7478398382663727
49,0.6341856122016907,0.557113528251648,0.6920233964920044
50,0.6525978446006775,0.5805367231369019,0.7411440312862396
51,0.5860239267349243,0.4643552526831627,0.6720059216022491
52,0.6407949924468994,0.5712896585464478,0.725120797753334
53,0.6540812253952026,0.561176210641861,0.719687283039093
54,0.589484691619873,0.508918285369873,0.6815155148506165
55,0.6623204350471497,0.6102396100759506,0.756277933716774
56,0.6723472476005554,0.6130883246660233,0.734151154756546
57,0.5891569554805756,0.4630672112107277,0.6619997918605804
58,0.6307682991027832,0.5482955873012543,0.7008548825979233
59,0.6190648674964905,0.5395270437002182,0.7099070996046066
60,0.6179758310317993,0.5220054984092712,0.7199080586433411
61,0.6060903668403625,0.5465693473815918,0.7179936766624451
